chandrasekhar,rayleigh,timestep,Nx,Ny,Nz
1e4,2e5,0.0001,96,96,48.0
1e4,3e5,0.0001,96,96,48.0
1e4,4e5,0.0001,96,96,48.0
1e4,6e5,0.0001,96,96,48.0
1e4,8e5,0.0001,96,96,48.0
1e4,1e6,5e-05,192,192,48.0
1e4,1.4e6,5e-05,192,192,96.0
1e4,1.8e6,2e-05,192,192,96.0
1e4,2e6,2e-05,192,192,96.0
1e4,3e6,2e-05,192,192,96.0
1e4,4e6,2e-05,192,192,96.0
1e4,6e6,5e-06,384,384,96.0
1e4,8e6,4e-06,384,384,96.0
1e4,1e7,2e-06,384,384,96.0
1e4,1.5e7,4e-07,768,768,192.0
1e4,2e7,4e-07,768,768,192.0
1e4,2.4e7,1e-07,768,768,192.0
1e4,4e7,1e-07,768,768,192.0
1e5,2e6,1e-05,96.0,96.0,48.0
1e5,3e6,5e-06,192.0,192.0,48.0
1e5,4e6,5e-06,192.0,192.0,48.0
1e5,6e6,5e-06,192.0,192.0,48.0
1e5,8e6,5e-06,192.0,192.0,48.0
1e5,1e7,5e-06,192.0,192.0,48.0
1e5,1.3e7,5e-06,192.0,192.0,48.0
1e5,1.5e7,2e-06,768.0,768.0,96.0
1e5,1.6e7,2e-06,768.0,768.0,96.0
1e5,2e7,2e-06,768.0,768.0,96.0
1e5,3e7,2e-06,768.0,768.0,96.0
1e5,4e7,2e-06,768.0,768.0,96.0
1e5,6e7,2e-06,768.0,768.0,96.0
1e5,1e8,5e-07,768.0,768.0,144.0
1e6,1.3e7,2e-06,96,96,48.0
1e6,2e7,2e-06,96,96,48.0
1e6,3e7,1e-06,192,192,48.0
1e6,4e7,1e-06,192,192,48.0
1e6,5e7,1e-06,192,192,48.0
1e6,6e7,1e-06,192,192,48.0
1e6,7e7,1e-06,192,192,48.0
1e6,9e7,1e-06,192,192,48.0
1e6,1e8,2e-06,384,384,48.0
1e6,1.2e8,2e-06,384,384,48.0
1e6,1.5e8,2e-06,384,384,48.0
1e6,2e8,2e-06,384,384,48.0
1e6,3e8,2e-06,384,384,48.0
1e6,4e8,2e-06,384,384,48.0
1e6,6e8,5e-07,768,768,96.0
1e6,8e8,5e-07,768,768,96.0
1e6,1e9,2e-07,768,768,96.0
1e7,1.1e8,2e-07,192.0,192.0,48.0
1e7,1.5e8,2e-07,192.0,192.0,48.0
1e7,2e8,2e-07,192.0,192.0,48.0
1e7,3e8,2e-07,192.0,192.0,48.0
1e7,4e8,2e-07,192.0,192.0,48.0
1e7,7e8,2e-07,192.0,192.0,48.0
1e7,1e9,2e-07,384.0,384.0,96.0
1e7,1.5e9,2e-07,384.0,384.0,96.0
1e7,2e9,2e-07,384.0,384.0,96.0
1e7,3e9,2e-07,384.0,384.0,96.0
1e7,4e9,2e-07,384.0,384.0,96.0
1e7,7.2e9,2e-07,768.0,768.0,96.0
1e7,1e10,2e-07,768.0,768.0,96.0
1e8,1.5e9,2e-08,192.0,192.0,72.0
1e8,2e9,2e-08,192.0,192.0,72.0
1e8,3e9,2e-08,192.0,192.0,72.0
1e8,4e9,2e-08,192.0,192.0,72.0
1e8,6e9,2e-08,192.0,192.0,72.0
1e8,1e10,2e-08,384.0,384.0,144.0
1e8,2e10,2e-08,384.0,384.0,144.0
1e8,4e10,2e-08,768.0,768.0,144.0
1e8,8e10,2e-08,768.0,768.0,192.0
